n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,max_delta_step,value
317,11,0.022836582203047486,0.6200245348410593,0.9844342289690018,5,3.4347602424938617,0.06832745742852608,2.069270768169589,0,0.8001602937114842
439,3,0.01650767312589301,0.7946953474984071,0.6155952659714646,2,0.758901673277303,0.8111477509650777,3.4306940891964874,10,0.7970240205337445
425,8,0.010696280552837794,0.5923387082833854,0.7292105903058723,10,0.5025965196707627,0.1843340678289579,1.4962931605899383,0,0.7990813164847795
351,11,0.012184807893758214,0.8099713425642687,0.9625659839284582,7,1.1192480851209696,0.9500045621406843,2.123695070297552,8,0.7932532039440099
344,12,0.015947324477964698,0.7301813343238277,0.7348487582228025,1,0.909281139869012,0.3372243902779509,3.704770400195289,1,0.7925291131887099
424,5,0.01443784483919736,0.9109042976873988,0.9737752375008552,6,1.1846423487969133,0.944343547862175,4.37451204443156,3,0.7973249547337058
436,6,0.037151768639440946,0.8949669694895221,0.9790877693605303,3,4.192052834869927,0.020093201921173587,3.874257484007373,7,0.7982700614209225
205,10,0.02777511559672158,0.5675836911193272,0.5608337791536231,3,4.491940098995194,0.8376925009374419,1.7686839855565464,8,0.7984637965807002
341,8,0.08716691120813047,0.9300255504786585,0.8035470736643792,6,2.6539722164470625,0.5466762504557359,1.922923635261077,4,0.7962837151334687
335,4,0.2682651109670428,0.9527976258764365,0.9094917354767391,2,0.43654495031360985,0.20419379390726833,1.7533466621929308,9,0.7863030350503144
235,10,0.08764074813000626,0.6505331948485857,0.8263800808988124,9,3.3416748488401904,0.5295095714201776,0.8879448268805676,6,0.7981009898971939
270,8,0.010174150425574062,0.5015880542932027,0.6841612016222848,9,2.343796070113111,0.01940994269611518,0.5181163762697414,0,0.7962231759479395
389,9,0.027921298997206082,0.6325921538456755,0.8676917189429916,10,2.226641814180566,0.22990513387223432,2.735861406534725,2,0.7988536849298327
169,6,0.023601309036604384,0.6621085588900192,0.6826145987924057,4,3.3729193024388135,0.16695943227013577,1.332477107112341,0,0.7965757917409351
284,12,0.0445267671553375,0.5657394072051267,0.7597121085932121,8,1.6070658253818602,0.3860222802665896,2.799500230068742,2,0.7965944797983849
387,7,0.06374134034588223,0.7179983909479863,0.6348854423647489,5,0.10123689326549773,0.10722946114749472,2.563253499570144,5,0.7920870827193816
389,10,0.022072173685521373,0.5755695232865148,0.5316488944439068,5,3.666055801730975,0.32687258751386905,1.0280694478533734,0,0.7996984182357821
308,10,0.1791622323455539,0.5108769054399346,0.5050137021771106,5,3.7581561104241294,0.34075873866361667,1.0740977081246765,2,0.7884676462535041
390,11,0.022081211634130963,0.6896811138354115,0.5271729873233123,4,4.891122777241623,0.6539458817984329,0.5959800055104527,4,0.8004310538356154
250,12,0.038447232400803534,0.6970611362601454,0.9097564722762317,4,4.983678239659382,0.6576074676712207,4.998758076835273,4,0.8013657953379782
254,12,0.07168850776550387,0.8348638719364285,0.899308248330537,4,4.750864308784953,0.6497375999801022,4.899666080833061,4,0.8002869405101247
247,12,0.06286443384641811,0.8555913313645707,0.9117423874185511,4,4.950051547259292,0.6468606147823946,4.859342401051636,4,0.7998745396853811
219,11,0.12697010379690632,0.6956517142702717,0.9135838693603562,4,4.994684676482657,0.648710693293407,4.557098442645992,5,0.7989043801452392
186,12,0.042653588040459225,0.7792224915488017,0.8479262117386271,3,4.400539294731691,0.6759983152397578,4.975141878319901,4,0.7977784352442021
265,11,0.07873935979370472,0.7529893779258484,0.7781479936975749,2,4.109486650309704,0.7405330864240292,4.189213479219525,6,0.8020949715525869
284,9,0.03614165343778455,0.762810325600597,0.7843205795586915,1,4.055145129524545,0.7684594992555398,4.404074161926274,6,0.8000671932002497
218,11,0.11759132162939438,0.6881335381707298,0.5808990636905033,2,2.9326662066036286,0.4587807383810399,4.049514810868366,6,0.7975281999810612
266,9,0.050139820338549156,0.7463857213100616,0.7023814931168698,3,4.606425380223502,0.747012537213822,3.4293172960635983,3,0.8008382147218331
264,9,0.04896552561016584,0.7473681742485289,0.7000270175561082,2,4.021911680214885,0.7488474884919456,3.1932167192202146,3,0.8012440146101063
298,9,0.101931895037175,0.8616662514172484,0.6329143009720637,2,4.021744079390231,0.8947643829209896,3.2550808140187772,3,0.7993573933269306
189,11,0.05596657980256947,0.8156952107828118,0.7721918238398734,1,2.9396491749407327,0.7497800515006269,4.12632320408537,7,0.7958714866985412
